A0,propensityY1,propensityY2,propensityY3,propensityY4,propensityY5,propensityY6,propensityY7,propensityY8,propensityY9,propensityY10,propensityY11,propensityY12,propensityY13
315,0.066412637,0.01924948,0.022568321,0.026443942,0.030964034,,,,,,,,
316,0.030400343,0.035571997,0.041585709,0.048564888,0.056646131,,,,,,,,
317,0.018280167,0.02143554,0.025121631,0.029422529,0.034433746,,,,,,,,
318,0.066412637,0.077222713,0.089623442,0.103791547,0.119904418,,,,,,,,
319,0.066412637,0.077222713,0.022568321,0.026443942,0.030964034,,,,,,,,
320,0.061107939,0.071120339,0.082628872,0.095807609,0.028404639,,,,,,,,
321,0.019716465,0.023113923,0.027080644,0.031706023,0.037091299,,,,,,,,
322,0.009562049,0.011229785,0.013184523,0.015474192,0.438618287,,,,,,,,
323,0.015035396,0.017640748,0.020688075,0.024248816,0.028404639,,,,,,,,
324,0.016410504,0.01924948,0.022568321,0.026443942,0.030964034,,,,,,,,
325,0.027995577,0.032771963,0.038331122,0.044789623,0.052277175,,,,,,,,
327,0.862176635,0.880370161,0.896450475,0.910588839,0.922962682,,,,,,,,
328,0.015035396,0.017640748,0.020688075,0.024248816,0.028404639,,,,,,,,
329,0.015035396,0.017640748,0.020688075,0.024248816,0.028404639,,,,,,,,
330,0.016410504,0.01924948,0.022568321,0.026443942,0.030964034,,,,,,,,
331,0.071873345,0.083492776,0.024518656,0.028719364,0.033614966,,,,,,,,
332,0.066412637,0.077222713,0.089623442,0.103791547,0.119904418,,,,,,,,
333,0.016410504,0.01924948,0.022568321,0.026443942,0.030964034,,,,,,,,
334,0.016410504,0.01924948,0.022568321,0.026443942,0.030964034,,,,,,,,
335,0.066412637,0.077222713,0.022568321,0.026443942,0.030964034,,,,,,,,
336,0.027995577,0.032771963,0.038331122,0.044789623,0.052277175,,,,,,,,
337,0.934539429,0.943803246,0.951823654,0.958749418,0.131760187,,,,,,,,
338,0.066412637,0.01924948,0.022568321,0.026443942,0.030964034,,,,,,,,
339,0.128949983,0.039242499,0.045847239,0.053501691,0.062350588,,,,,,,,
340,0.015035396,0.017640748,0.020688075,0.024248816,0.028404639,,,,,,,,
341,0.459432942,0.809993354,0.106087642,0.031706023,0.037091299,,,,,,,,
342,0.838429381,0.588774405,0.145260479,0.166614253,0.908578418,,,,,,,,
343,0.548954724,0.588774405,0.038331122,0.664587834,0.052277175,,,,,,,,
344,0.594680216,0.880370161,0.896450475,0.910588839,0.922962682,,,,,,,,
345,0.031176102,0.036474761,0.042634346,0.049780374,0.058051533,,,,,,,,
346,0.413497631,0.453367909,0.022568321,0.026443942,0.574512592,,,,,,,,
347,0.052627286,0.061340933,0.071388606,0.082936674,0.096159357,,,,,,,,
348,0.008755694,0.010284253,0.012076415,0.014176411,0.01663543,,,,,,,,
349,0.030400343,0.035571997,0.041585709,0.048564888,0.056646131,,,,,,,,
350,0.042888304,0.050074672,0.014335812,0.016822009,0.019730746,,,,,,,,
351,0.033555775,0.039242499,0.045847239,0.053501691,0.062350588,,,,,,,,
353,0.019716465,0.023113923,0.027080644,0.031706023,0.037091299,,,,,,,,
355,0.027995577,0.032771963,0.038331122,0.044789623,0.052277175,,,,,,,,
356,0.569872923,0.609160692,0.041585709,0.048564888,0.056646131,,,,,,,,
357,0.109371795,0.126228943,0.038331122,0.044789623,0.052277175,,,,,,,,
358,0.109371795,0.126228943,0.038331122,0.044789623,0.052277175,,,,,,,,
359,0.042888304,0.012212497,0.014335812,0.016822009,0.019730746,,,,,,,,
